Nr.,Bezeichnung,Hinterlegung
132,"""Bürgerpartei Österreichs"" (BPÖ)",29.07.1998
133,"""BÜRGERPARTEI"" (BP)",08.07.1987
134,"""Bürgerprotest & Nichtwähler"" (BPN)",08.07.1987
135,"""Bürger-Rechts-Bewegung""",06.04.1989
136,"""BÜRGERSCHUTZ Österreich (BSÖ)""",14.03.1994
137,"""BZÖ - Bündnis Zukunft Niederösterreich""",22.06.2007
138,"""BZÖ - Bündnis Zukunft Oberösterreich""",20.07.2012
139,"""BZÖ - Bündnis Zukunft Steiermark""",30.06.2005
140,"""BZÖ Kärnten, Kurzbezeichnung ""BZÖ""",12.03.2010
141,"""casework alternative liste""",25.09.1987
142,"""CASEWORK""",11.03.1987
143,"""Christdemokraten Österreichs"" -  kurz: ""CDÖ""",26.08.2005
144,"""Christdemokratische Arbeitnehmer-Partei"" ",12.12.1997
145,"""CHRISTDEMOKRATISCHE PARTEI"", kurz ""CDP""",04.05.1990
146,"""Christdemokratische Union (CDU)""",12.12.1997
147,"""Christdemokratische Volksabstimmungspartei"", kurz ""CDVP""",07.01.2010
148,"""Christdemokratische Volkspartei""",12.12.1997
149,"""Christen-Allianz""",22.01.2010
150,"""Christlich Europäische Union (CEU)""",04.12.2003
151,"""Christlich soziale Allianz (CSA)""",28.04.1999
152,"""Christlich Soziale Allianz"", kurz ""CSA""",16.04.1999
153,"""Christlich Soziale Partei""",01.02.1994
154,"""Christlich-Demokratische Union Österreichs"", Kurzbezeichnung ""CDU-Ö""",02.03.1999
155,"""CHRISTLICHE - WÄHLER - GEMEINSCHAFT"" (CWG)",01.06.1990
156,"""Christliche Allianz (CA)""",25.09.1991
157,"""Christliche Arbeitnehmer-Partei""",12.12.1997
158,"""Christliche Partei - Steiermark""",13.01.2012
159,"""Christliche Partei - Tirol""",30.01.2012
160,"""Christliche Partei Österreichs - Salzburg"" (CPÖ - Salzburg)",21.10.2010
161,"""Christliche Partei Österreichs""",09.12.2005
162,"""Christliche Union""",12.12.1997
163,"""Christliche Volkspartei""",12.12.1997
164,"""CHRISTLICHES FORUM""",29.03.1994
165,"""Christlich-Soziale Arbeitnehmer-Partei""",12.12.1997
166,"""Christlich-Soziale Arbeitsgemeinschaft"" (CSA)",08.02.1978
167,"""christlich-soziale Mitte Österreichs"", kurz ""CSMÖ""",08.08.1983
168,"""Christlich-soziale Union (CSU)""",12.12.1997
169,"""Christlich-Soziale Union Österreichs"", Kurzbezeichnung ""CSUÖ""",22.10.1998
170,"""Christlich-Soziale Union"". Kurzbezeichnung ""CSU""",12.02.2001
171,"""Christlich-Soziale Volkspartei""",12.12.1997
172,"""Club Soziale Aktion"", Kurzbezeichnung ""CSA""",05.02.1987
173,"""Congolesische Volkspartei in Österreich""",28.09.1990
174,"""Context - Initiative für freie Studien und brauchbare Information""",13.01.1992
175,"""Dachverband der Ewiggestrigen""",14.10.1983
176,"""DAS GRÜNE FORUM - DIE ÖSTERREICHISCHEN GRÜNEN (Wahlgemeinschaft von Atomgegner-, Natur- und ",14.01.1982
177,"""DAS GRÜNE FORUM - WAHLGEMEINSCHAFT ÖSTERREICHISCHER GRÜNER"" (Wahlplattform von Atomgegner-, ",25.06.1981
