Nr.,Bezeichnung,Hinterlegung
707,"""Partei für die Autonomie des Individuums""",23.01.1987
708,"""Partei für ganzheitliche Lebensauffassung - PGL""",04.01.1988
709,"""PARTEI für JUGEND UND VOLK"" (J + V) (NEUE JUGENDEBWEGUNG - SOZIALPOLITISCHE VOLKSPARTEI)",19.06.1979
710,"""Partei für Kultur und Kritik""",02.05.1989
711,"""Partei für maßvollen Fortschritt im Rahmen der Gesetze"", Abkürzung ""PFG""",15.07.1994
712,"""Partei für Österreich""",04.09.2012
713,"""Partei für Österreich"", kurz ""PFÖ""",14.12.1982
714,"""Partei für Qualität, Information und Kultur"", Kurzbezeichnung ""QIK""",18.01.1995
715,"""Partei für Recht und Ordnung - PRO""",29.09.1981
716,"""Partei für Rechtssicherheit und Bürgernähe (RPÖ)""",06.12.2000
717,"""Partei für sexuelle Ausschweifungen"" (P.S.A.)",14.10.1983
718,"""Partei für soziale Gerechtigkeit""",06.04.2009
719,"""Partei für Umwelt, Mensch und Arbeit"", mit dem Kürzel ""PUMA""",10.05.2010
720,"""Partei für Umweltschutz und Menschlichkeit"" (kurz ""PUM"")",11.01.1982
721,"""Partei für Umweltschutz und Menschlichkeit"" (kurz ""PUM"")",28.02.1984
722,"""PARTEI für VOLK und JUGEND (V + J)"" -VOLKSPARTEI und JUGENDBEWEGUNG-",21.05.1982
723,"""Partei für Wirtschafts- und Umweltinformation""",17.02.1993
724,"""Partei gegen Rassismus""",04.12.2006
725,"""Partei gegen rassistische Diskriminierung""",29.01.2007
726,"""Partei glücklicher Österreicher""",08.01.1998
727,"""Partei Neue Ordnung (PNO)""",06.04.1995
728,"""Partei Neues Österreich"" (PNÖ)",06.11.1981
729,"""Partei Österreich neu""",27.04.2012
730,"""Partei Österreichischer Arbeitssuchender PÖA""",26.09.2000
731,"""Partei Österreichischer Patrioten (PÖP)""",24.03.2011
732,"""Partei von, für und Mit-Menschen""",23.12.1997
733,"""Partei zur Förderung der Gesellschaft und Information im lokalen Raum""",12.09.1985
734,"""Partei zur Förderung der sozialen, lokalen, kulturellen und sportlichen Information in Wattens und Umgebung""",12.03.1986
735,"""Partei zur Förderung des Kultur- und Gesellschaftslebens""",29.08.1983
736,"""PARTEI ZUR FÖRDERUNG VON STADTTEILZENTREN""",18.09.1989
737,"""Partei zur Information von Hall und Umgebung und zur Förderung sportlicher kultureller und sozialer Kontakte""",10.10.1985
738,"""PARTEI ZUR REVITALISIERUNG ÖSTERREICHISCHER KULTURGÜTER""",06.12.1979
739,"""parteifrei""",25.07.2005
740,"""PATRIOTISCHE BEWEGUNG"" (P)",08.07.1987
741,"""Patriotische Partei Österreichs"" (PPÖ)",10.02.1978
742,"""Patriotische Sozialisten Europas"" (PSE)",09.11.2001
743,"""Pharmazeutische Studenteninitiative""",17.10.1990
744,"""PHÖ - Partei Heimatverbundener Österreicher""",11.10.2007
745,"""Piraten Partei Tirol"", Kurzbezeichnung ""PPT""",08.02.2012
746,"""Piraten Seekirchen""",19.04.2012
747,"""Piratenpartei Österreichs"", Kurzbezeichnung ""Piratenpartei"", Abkürzung ""PPÖ""",31.07.2006
748,"""Piratische Studentinnen und Studenten Österreichs"", Abkürzung ""(PiSt)""",23.09.2010
749,"""Plattform für Pluralismus und Hochschulpolitik""",30.11.1999
750,"""Politik ohne Parteibuch"" POP",03.05.1990
751,"""Pöltl für Österreich"", Kurzbezeichnung ""PfÖ""",24.10.2008
752,"""PRO HETZENDORF (PH)""",08.03.2013
753,"""Pro Kottingbrunn - Verein zur Förderung und Unterstützung der wirtschaftlichen, kulturellen und sozialen Entwicklung der ",12.01.1998
754,"""PRO ÖSTERREICH"" (unabhängige Bürgerbewegung)",09.11.2009
755,"""progressive Partei""",10.10.1980
756,"""Projekt Demokratische Linke""",12.03.1991
757,"""Protestpartei"", kurz ""PP""",14.07.1982
758,"""PROTESTWÄHLER-PARTEI""",20.02.1992
759,"""RADIKALE PARTEI ÖSTERREICHS"" (RPÖ)",14.06.1982
760,"""Radikal-Liberale Partei (RLP)""",30.06.1986
761,"""RealDemokraten Österreichs (RDÖ)""",17.08.2012
762,"""RECHTSBLOCK""",01.03.1983
763,"""Rechtsschutzforum unabhängige Bürgerhilfe in Zusammenarbeit von Vereinigungen Europäischer Bürgerinitiativen zum ",03.03.1986
764,"""RED LIONS AUSTRIA - Österreichische Gesellschaft für eine bessere Welt""",24.02.1987
765,"""Reform Partei Österreich""",08.08.2008
766,"""REGNUM-DEI-RD""",14.11.1994
767,"""REICHSVOLKSFÜHRUNGSBEFEHLSMACHT"", Kurzbezeichnung ""RVFBM""",24.05.1994
768,"""REPUBLIKANISCHE BEWEGUNG"" (REP)",12.10.1989
769,"""Republikanische Demokraten"" (Rep-Demo)",17.04.1990
770,"""Rettet Österreich""",27.06.2008
771,"""Revolutionär Sozialistische Organisation"" (RSO)",24.05.2007
772,"""Revolutionär-Kommunistische Organisation zur Befreiung (RKOB)""",12.04.2011
773,"""Revolutionsbräuhof""",20.03.1987
774,"""RKL (Revolutionär Kommunistische Liga)""",07.03.1979
775,"""ROSA LISTE WIEN""",19.03.1991
776,"""ROSA LISTE""",19.03.1991
777,"""ROTSTILZCHEN""",23.07.1986
778,"""Salzburger Piratenpartei"", Kurzbezeichnung und Abkürzung ""Salzburger Piraten"" oder ""Piraten"", Kurzbezeichnung auf ",28.01.2013
779,"""Salzburger Seniorenbund"", Kurzbezeichnung ""SSB""",09.12.2002
780,"""SAMMLUNG CHRISTLICHER ALTERNATIVEN IN ÖSTERREICH (SCA)""",14.07.1986
781,"""Schutzverband vereinigter Pensionisten Österreichs""",05.07.1985
782,"""Senioren und Pensionisten Partei - Wien"", Kurzbezeichnung ""SEPP - Wien"", wahlweise der Zusatz ""die Seniorenpartei""",10.11.2011
783,"""Solidarische Kultur Österreich - SKÖ""",31.07.2008
784,"""Solidarität""",02.01.1996
785,"""Solidarität, Ökologie und Lebensstil"" (SOL)",26.03.1990
786,"""Sozalistische Alternative (SOAL)""",03.06.1985
787,"""Sozial Liberales Österreich"", Kurzbezeichnung ""SLÖ""",27.05.2013
788,"""Sozialanarchistische Union"", Kurzbezeichnung ""SAU""",29.09.1992
789,"""Sozialdemokratische Partei Österreichs (SPÖ)""",19.08.1975
790,"""Sozialdemokratische Partei Österreichs"" (SDPÖ)",12.02.1979
791,"""Soziale Allianz Österreichs"", Kurzbezeichnung ""SAÖ""",13.12.1990
792,"""SOZIALE ARBEITERPARTEI ÖSTERREICHS"", abgekürzt ""SAÖ""",17.06.1981
793,"""Soziale Gerechtigkeitspartei Österreichs (SGÖ)""",14.05.1980
794,"""SOZIALE HEIMAT PARTEI ÖSTERREICH""",10.05.2006
795,"""Soziale Volksbewegung"" (SVB)",13.05.1983
796,"""Soziale Volkspartei (SVP)""",29.10.1982
797,"""Soziale Volksunion""",21.04.1993
798,"""Soziales Bürgerforum Österreich SBÖ"", Untertitel ""Partei der Mitte""",15.12.2004
799,"""Sozialisten"", abgekürzt ""SOZ""",17.06.1991
800,"""SOZIALISTISCHE ALTERNATIVE (SOAL) - Österreichische Sektion der IV. Internationale""",10.01.1978
801,"""Sozialistische LinksPartei"" (SLP)",12.06.1996
802,"""SOZIALISTISCHE PARTEI ÖSTERREICH-FRAKTION"", Kurzform ""SPÖ-FRAKTION""",28.11.1990
803,"""SOZIALISTISCHES PATIENTENKOLLEKTIV/PATIENTENFRONT (Österreich), SPK/PF (Ö)""",20.04.2000
804,"""Sozial-konservative monarchistische Partei Österreichs (S.K.M.P.Ö.)""",14.05.1982
805,"""Sozial-Liberale Allianz"", Kurzbezeichnung ""SLA""",13.12.1990
806,"""SOZIAL-LIBERALE PARTEI"" (SLP)",25.04.1986
807,"""Sozial-Liberale Partei"", Kurzbezeichnung ""SLP""",13.12.1990
808,"""SOZIALLIBERALE-VOLKSPARTEI, (SLVP)""",12.11.1991
809,"""Stattclub""",25.01.1982
810,"""STEIRISCHE BÜRGERRECHTLER (SBR)""",21.02.1979
811,"""Steirische Unabhängige Seniorenpartei""",02.04.1999
812,"""STEIRISCH-GRÜNE BÜRGERLISTE (SGB)""",02.07.1985
813,"""Studenten für Bildung und Politik""",26.05.1988
814,"""Studenten für Medizinerausbildung und Gesundheitspolitik""",18.01.1991
815,"""Studentenprotest & Nichtwähler"" (SUN)",08.07.1987
816,"""Team Stronach für Burgenland""",18.12.2012
817,"""Team Stronach für Kärnten""",09.10.2012
818,"""Team Stronach für Niederösterreich""",12.10.2012
819,"""Team Stronach für Oberösterreich""",06.12.2012
820,"""Team Stronach für Österreich"" (Kurzbezeichnung : ""Team Stronach"")",25.09.2012
821,"""Team Stronach für Salzburg""",09.11.2012
822,"""Team Stronach für Steiermark""",05.12.2012
823,"""Team Stronach für Tirol""",06.11.2012
824,"""Team Stronach für Vorarlberg""",03.12.2012
825,"""Team Stronach für Wien""",28.01.2013
826,"""Teuflische Aktion"" (T.A.)",14.10.1983
827,"""Tiroler Patrioten LISTE TIROL"" - Überparteiische Plattform für Tiroler Politik - ",07.07.2007
828,"""Trauner Unabhängige"", kurz ""TU""",02.07.2009
829,"""Trotzkistische Gruppe Österreichs (Für den Wiederaufbau der IV. Internationale)""",18.04.1986
830,"""U.F.I. Union zur Förderung heimatlicher Interessen""",06.12.1979
831,"""Überparteiliche Burgenlandliste""",27.04.1987
832,"""Überparteiliche Bürgerinitiative""",04.01.1999
833,"""Überparteiliche Bürgerliste""",27.04.1987
834,"""Umweltforum Wolkersdorf""",14.04.1992
835,"""Umweltliste Gerasdorf"" (ULI)",20.06.1990
836,"""Umweltschutzpartei (Grüne)""",15.02.1988
837,"""Unabhängige Bürgerinitiative 'Rettet Österreich'""",30.07.2008
838,"""UNABHÄNGIGE BÜRGERLISTE POTTENDORF""",14.07.1994
839,"""Unabhängige Dorfliste Radfeld"" (U-D-R)",04.07.1991
840,"""Unabhängige Gemeinderatsfraktion ARBEITSKREIS MILS""",19.07.1990
841,"""Unabhängige Gemeinderatsfraktion DORFLISTE für ein lebenswertes NATTERS""",21.12.1990
842,"""Unabhängige Kulturoffensive"", Abkürzung ""UKO""",11.01.1983
843,"""UNABHÄNGIGE LISTE DER GEMEINDE WIENERWALD""",14.09.1990
844,"""Unabhängige Liste Hohenems"", kurz ""ULH""",17.04.1996
845,"""Unabhängige Liste liberaler Studierender"", Kurzbezeichnung ""ULLST""",14.11.1994
846,"""Unabhängige Partei für Fortschritt und Fremdenverkehr (Partei für volksnahe Information, Heimatpflege und Förderung ",30.09.1987
847,"""Unabhängige Seniorenpartei Österreichs"", kurz ""USenPÖ""",02.04.1999
848,"""Unabhängige VOLKSPARTEI"" (UVP) - Erste österreichische Partei für alle -",28.06.1982
849,"""UngüLtiG"" (Union nicht genug überdachten Lächelns trotz innerer Genialität)",01.10.1986
850,"""UNION 1989""",24.05.1989
851,"""UNION 1990""",24.05.1989
852,"""UNION 1991""",24.05.1989
853,"""UNION 1992""",24.05.1989
854,"""UNION 1993""",24.05.1989
855,"""UNION 1994""",24.05.1989
856,"""UNION 1995""",24.05.1989
857,"""UNION 1996""",24.05.1989
858,"""UNION 1997""",24.05.1989
859,"""UNION 1998""",24.05.1989
860,"""Union für objektive Information"" (UFOI)",20.11.1986
861,"""Union zur Förderung bürgerlicher Meinungsäußerung""",05.12.1984
862,"""Union zur Förderung des Vereinsgeschehens und der Information der Gemeindebürger""",27.12.1984
863,"""Union zur Verbreitung von Information"" (UzVvI)",24.09.1986
864,"""UPÖ - Die Partei für uns Österreicher""",18.01.2002
865,"""VAU-HEUTE""",06.12.2000
866,"""Vegetarisch-Egalitäres Bündnis"", Kurzbezeichnung ""Die VegetarierInnen"", Abkürzung ""VEB""",29.04.1994
867,"""Verband der Sozialversicherten Burgenland"", Kurzbezeichnung ""VDS B""",22.10.1990
868,"""Verband der Sozialversicherten Kärnten"", Kurzbezeichnung ""VDS K""",22.10.1990
869,"""Verband der Sozialversicherten Niederösterreich"", Kurzbezeichnung ""VDS NÖ""",22.10.1990
870,"""Verband der Sozialversicherten Oberösterreich"", Kurzbezeichnung ""VDS OÖ""",18.10.1990
871,"""Verband der Sozialversicherten Salzburg"", Kurzbezeichnung ""VDS S""",22.10.1990
872,"""Verband der Sozialversicherten Steiermark"", Kurzbezeichnung ""VDS ST""",22.10.1990
873,"""Verband der Sozialversicherten Tirol"", Kurzbezeichnung ""VDS T""",22.10.1990
874,"""Verband der Sozialversicherten Vorarlberg"", Kurzbezeichnung ""VDS V""",22.10.1990
875,"""Verband der Sozialversicherten Wien"", Kurzbezeichnung ""VDS W""",22.10.1990
876,"""Verband der Sozialversicherten"" (VDS)",26.06.1990
877,"""VERBAND der UMWELTSCHÜTZER - V.d.U."" (""AKTION GRÜNES LEBEN"")",17.01.1979
878,"""Verein christlicher und demokratischer Studenten"" (VCDS)",14.04.1987
879,"""Vereinigte Grüne Alternative""",27.04.1987
880,"""Vereinigte Grüne Burgenlandliste (GRÜNE)""",27.04.1987
881,"""Vereinigte Linke"" (VL)",16.10.1995
882,"""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE (VÖGA), LANDESVERBAND WIEN"", Abkürzung ""VÖGA-",11.03.1986
883,"""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE LANDESVERBAND KÄRNTEN"", Abkürzung ""VÖGA-Kärnten""",07.11.1986
884,"""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE"", Abkürzung ""VÖGA""",11.03.1986
885,"""VEREINIGTE ÖSTERREICHISCHE GRÜNE"", Abkürzung ""VÖG""",17.03.1986
886,"""VEREINIGTE ÖSTERREICHISCHE GRÜNE, LANDESVERBAND WIEN"", Abkürzung ""VÖG-Wien""",17.03.1986
887,"""VEREINIGUNG DER EU-GEGNER ÖSTERREICHS""",14.06.1994
888,"""Vereinigung liberaldemokratisches Österreich"", kurz ""VLdO""",03.08.2006
889,"""Vereinigung liberaldemokratisches Österreich"", kurz ""VLO 2000""",12.03.2001
890,"""Vereinigung Wiener Ärzte""",01.07.1991
891,"""VEREINTE ALTERNATIVE UND GRÜNE ÖSTERREICHS (VAGÖ)""",19.11.1982
892,"""Vereinte Grundsatztreue Ökologen (VGÖ)""",15.07.1983
893,"""Vereinte Grundsatztreue Ökologen, Landesverband Wien"" (VGÖ-Wien)",23.04.1985
894,"""Vereinte Grüne Alternative""",27.04.1987
895,"""Vereinte Grüne Burgenlandliste (GRÜNE)""",27.04.1987
896,"""VEREINTE GRÜNE BÜRGERLISTE (VGB), LANDESVERBAND WIEN"", Abkürzung ""VGB-Wien""",23.03.1987
897,"""VEREINTE GRÜNE BÜRGERLISTE"", Abkürzung ""VGB""",23.03.1987
898,"""Vereinte Grüne Österreichs - Landesgruppe Kärnten"", abgekürzt ""VGÖ-Kärnten""",31.01.1984
899,"""Vereinte Grüne Österreichs - Landesverband Burgenland"", abgekürzt ""VGÖ-Burgenland""",31.01.1984
900,"""VEREINTE GRÜNE ÖSTERREICHS - Landesverband Steiermark"", Kurzbezeichnung ""VGÖ-Stmk.""",06.03.1987
901,"""Vereinte Grüne Österreichs - Liste Tollmann"", abgekürzt ""VGÖ - Liste Tollmann""",08.02.1983
902,"""Vereinte Grüne Österreichs"", abgekürzt ""VGÖ""",09.03.1982
903,"""Vereinte Grüne Österreichs/Landesverband Oberösterreich"" (VGOÖ)",13.01.1984
904,"""Vereinte Grüne Österreichs/Landesverband Vorarlberg"", abgekürzt ""VGÖ-Vorarlberg""",09.12.1985
905,"""Vereinte Grüne Österreichs-Landesgruppe Tirol (VGÖ-Tirol)""",02.11.1989
906,"""VEREINTE GRÜNE ÖSTERREICHS-Landesverband Salzburg"" (Kurzbezeichnung: VGÖ/SBG.)",18.01.1984
907,"""VEREINTE GRÜNE ÖSTERREICHS-Landesverband Steiermark"", Kurzbezeichnung ""VGÖ-Stmk""",06.06.1991
908,"""VEREINTE GRÜNE ÖSTERREICHS-Stadtgruppe-GRAZ"", Kurzbezeichnung ""VGÖ-GRAZ""",19.04.1991
909,"""VEREINTE GRÜNE UND ALTERNATIVE ÖSTERREICHS (VGAÖ)""",19.11.1982
910,"""VEREINTE GRÜNE"", abgekürzt ""VGR""",02.05.1983
911,"""Vereinte Österreichische Pensionisten"", Kurzbezeichnung ""V-Ö-P""",21.08.1989
912,"""Verkehrs- und Umweltforum Wolkersdorf""",12.03.1991
913,"""Vernünftig-Soziale-Volkspartei Österreichs"", abgekürzt ""VSVPÖ""",23.08.1988
914,"""Villacher Liste Thaler - Für Villach""",11.04.1991
915,"""Violette Partei Österreichs (VPÖ)""",24.07.2006
916,"""Visionär Integrale Partei""",16.03.2006
917,"""VOKSSOZIALISTISCHE FREIHEITS-BEWEGUNG (VFB)""",17.09.1981
918,"""Völkisch-Sozialer Aufbruch Europas"" V.S.A.E.",11.11.1986
919,"""Volksbewegung""",11.12.1981
920,"""VOLKSPARLAMENT""",21.04.1995
921,"""VOLKSPOLITIKER""",28.12.1990
922,"""VOLKSPOLITISCHE BEWEGUNG"" (VPB)",28.12.1990
923,"""VOLKSPOLITISCHE PARTEI ÖSTERREICHS"" (VPÖ)",28.12.1990
924,"""Volksrepublikaner""",17.04.1990
925,"""Volkssozialisten Österreichs"", abgekürzt ""VS"" bzw ""VS-Ö",22.03.1978
926,"""VOLKSSOZIALISTISCHE BEWEGUNG"", abgekürzt ""VSB""",16.05.1979
927,"""Volkssozialistische Partei - VSP""",06.02.1976
928,"""Volkstreue Grüne Bewegung"", abgekürzt ""VGB""",17.01.1985
929,"""VOLKSUNION / Wahlpartei der Unabhängigen / Grüne Plattform""",21.12.1981
930,"""Vorarlberger Freiheitliche - FPÖ""",15.04.1977
931,"""Vorarlberger Kulturunion"", Abkürzung ""VKU""",29.11.1977
932,"""Vorarlbergpartei""",11.04.1994
933,"""vorwärts tirol""",16.01.2013
934,"""VOX umwelt media - Initiative für brauchbare Umweltinformation""",31.07.1992
935,"""Wahlgemeinschaft für Bürgerinitiativen und Umweltschutz (WBU) - Grüne Liste""",18.02.1980
936,"""Wahlpartei der Unabhängigen/Die Grüne Union""",28.12.1979
937,"""WAHLPLATTFORM DER GRAUEN ÖSTERREICHS (WGÖ)""",26.07.1990
938,"""Waldviertelpartei"", Abkürzung ""WAP""",19.08.1992
939,"""Waldviertler Heimatliste"", Abkürzung ""WHL""",19.08.1992
940,"""WEEED - das mögliche Österreich""",21.12.2012
941,"""Weiße"" Bewegung überparteilicher Bürgerinitiativen",21.06.1994
942,"""Welser Alternative Grünliste (WAGL)""",21.11.1983
943,"""Welser Alternative Liste (WAL)""",21.11.1983
944,"""Westösterreichische Ortsbild- und Landschaftsgestaltungspartei"" (WOP)",04.10.1978
945,"""Wiener Forum"", in Abkürzung: ""WiF""",18.05.2005
946,"""Wiener Gesellschaft für Touristeninformation"", Kurzbezeichnung ""WGT""",21.08.1989
947,"""Wiener Landespartei der Österreichischen Volkspartei"", kurz ""Wiener ÖVP""",29.06.2007
948,"""Wir Burgenländer""",26.07.2006
949,"""WIR FÜR FLORIDSDORF"" (WIFF)",27.07.2010
950,"""Wir im Ersten - Die Stimme der BürgerInnen""",13.11.2009
951,"""Wir im Siebten - Die Stimme der BürgerInnen""",12.04.2012
952,"""Wir in Österreich - Die Stimme der BürgerInnen""",25.10.2011
953,"""Wir in Wien - Die Stimme der BürgerInnen""",25.10.2011
954,"""Wir Kärntner""",26.07.2006
955,"""Wir Niederösterreicher""",26.07.2006
956,"""Wir Oberösterreicher""",26.07.2006
957,"""Wir Österreicher""",26.07.2006
958,"""Wir Salzburger""",26.07.2006
959,"""Wir Steirer""",26.07.2006
960,"""Wir Tiroler""",26.07.2006
961,"""Wir Vorarlberger""",26.07.2006
962,"""Wir Wiener""",26.07.2006
963,"""WIR WIR-Gruppen Wende zum Inneren Reichtum""",28.07.1994
964,"""WIR""",10.07.2008
965,"""WIR-GEMEINSAM""",20.10.2009
966,"""Wirtschaftssozialistische Unternehmerpartei""",05.04.2002
967,"""WPÖ (Weiße Partei Österreichs)""",14.12.2011
968,"""WUI - Die Grünen"", Kurzbezeichnung ""WUI""",07.04.1993
969,"""www.frustig.at"", Kurzbezeichnung ""Frust""",02.11.2010
970,"""Xenopankratische Partei Österreichs - XPÖ""",13.05.2004
971,"""Zeitgeist-Global-Österreich"", kurz ""ZPÖ""",01.02.2013
972,"""Zentrumpartei Austria"", Abkürzung: ""ZPA"", Kurzbezeichnung: ""die Zentristen""",31.08.2005
973,"""ZUSAMMEN""",27.04.1990
